period,respondent,respondent-name,type,type-name,value,value-units
2024-12-23T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47420,megawatthours
2024-12-23T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48066,megawatthours
2024-12-23T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48443,megawatthours
2024-12-23T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48576,megawatthours
2024-12-23T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47162,megawatthours
2024-12-22T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45769,megawatthours
2024-12-22T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45480,megawatthours
2024-12-22T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45382,megawatthours
2024-12-22T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45578,megawatthours
2024-12-22T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46333,megawatthours
2024-12-22T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47673,megawatthours
2024-12-22T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48850,megawatthours
2024-12-22T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49533,megawatthours
2024-12-22T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49436,megawatthours
2024-12-22T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48559,megawatthours
2024-12-22T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47165,megawatthours
2024-12-22T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45827,megawatthours
2024-12-22T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45114,megawatthours
2024-12-22T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44878,megawatthours
2024-12-22T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44954,megawatthours
2024-12-22T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45345,megawatthours
2024-12-22T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45984,megawatthours
2024-12-22T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47083,megawatthours
2024-12-22T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48206,megawatthours
2024-12-22T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49099,megawatthours
2024-12-22T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49318,megawatthours
2024-12-22T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49277,megawatthours
2024-12-22T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48809,megawatthours
2024-12-22T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47092,megawatthours
2024-12-21T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45835,megawatthours
2024-12-21T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45371,megawatthours
2024-12-21T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45552,megawatthours
2024-12-21T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46102,megawatthours
2024-12-21T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47313,megawatthours
2024-12-21T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48863,megawatthours
2024-12-21T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50545,megawatthours
2024-12-21T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51986,megawatthours
2024-12-21T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52642,megawatthours
2024-12-21T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52244,megawatthours
2024-12-21T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50237,megawatthours
2024-12-21T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48352,megawatthours
2024-12-21T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46899,megawatthours
2024-12-21T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46286,megawatthours
2024-12-21T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46051,megawatthours
2024-12-21T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46133,megawatthours
2024-12-21T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46552,megawatthours
2024-12-21T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47569,megawatthours
2024-12-21T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48658,megawatthours
2024-12-21T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49553,megawatthours
2024-12-21T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49601,megawatthours
2024-12-21T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48951,megawatthours
2024-12-21T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48699,megawatthours
2024-12-21T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47990,megawatthours
2024-12-20T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47308,megawatthours
2024-12-20T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47066,megawatthours
2024-12-20T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47008,megawatthours
2024-12-20T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47262,megawatthours
2024-12-20T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47602,megawatthours
2024-12-20T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48432,megawatthours
2024-12-20T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49418,megawatthours
2024-12-20T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50560,megawatthours
2024-12-20T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51355,megawatthours
2024-12-20T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51282,megawatthours
2024-12-20T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49720,megawatthours
2024-12-20T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46598,megawatthours
2024-12-20T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44362,megawatthours
2024-12-20T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43398,megawatthours
2024-12-20T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43185,megawatthours
2024-12-20T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43357,megawatthours
2024-12-20T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44028,megawatthours
2024-12-20T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45330,megawatthours
2024-12-20T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47174,megawatthours
2024-12-20T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48915,megawatthours
2024-12-20T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49819,megawatthours
2024-12-20T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50032,megawatthours
2024-12-20T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50051,megawatthours
2024-12-20T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48747,megawatthours
2024-12-19T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47299,megawatthours
2024-12-19T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46824,megawatthours
2024-12-19T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46714,megawatthours
2024-12-19T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46838,megawatthours
2024-12-19T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47426,megawatthours
2024-12-19T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48490,megawatthours
2024-12-19T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49777,megawatthours
2024-12-19T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51272,megawatthours
2024-12-19T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52725,megawatthours
2024-12-19T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53308,megawatthours
2024-12-19T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51375,megawatthours
2024-12-19T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47268,megawatthours
2024-12-19T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44602,megawatthours
2024-12-19T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43654,megawatthours
2024-12-19T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43290,megawatthours
2024-12-19T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43356,megawatthours
2024-12-19T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43906,megawatthours
2024-12-19T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45351,megawatthours
